Prediction ID,LISZT_FERENC_STATION_MEMORY_rmse,LISZT_FERENC_STATION_MEMORY_mae,LISZT_FERENC_STATION_MEMORY_mape,LISZT_FERENC_STATION_LOAD_OF_RESOURCE_rmse,LISZT_FERENC_STATION_LOAD_OF_RESOURCE_mae,LISZT_FERENC_STATION_LOAD_OF_RESOURCE_mape,LISZT_FERENC_STATION_TOTAL_PROCESSING_POWER_rmse,LISZT_FERENC_STATION_TOTAL_PROCESSING_POWER_mae,LISZT_FERENC_STATION_TOTAL_PROCESSING_POWER_mape,KALOCSA_FOKTO_STATION_MEMORY_rmse,KALOCSA_FOKTO_STATION_MEMORY_mae,KALOCSA_FOKTO_STATION_MEMORY_mape,KALOCSA_FOKTO_STATION_LOAD_OF_RESOURCE_rmse,KALOCSA_FOKTO_STATION_LOAD_OF_RESOURCE_mae,KALOCSA_FOKTO_STATION_LOAD_OF_RESOURCE_mape,KALOCSA_FOKTO_STATION_TOTAL_PROCESSING_POWER_rmse,KALOCSA_FOKTO_STATION_TOTAL_PROCESSING_POWER_mae,KALOCSA_FOKTO_STATION_TOTAL_PROCESSING_POWER_mape,DEBRECEN_INTERNATIONAL_AIRPORT_MEMORY_rmse,DEBRECEN_INTERNATIONAL_AIRPORT_MEMORY_mae,DEBRECEN_INTERNATIONAL_AIRPORT_MEMORY_mape,DEBRECEN_INTERNATIONAL_AIRPORT_LOAD_OF_RESOURCE_rmse,DEBRECEN_INTERNATIONAL_AIRPORT_LOAD_OF_RESOURCE_mae,DEBRECEN_INTERNATIONAL_AIRPORT_LOAD_OF_RESOURCE_mape,DEBRECEN_INTERNATIONAL_AIRPORT_TOTAL_PROCESSING_POWER_rmse,DEBRECEN_INTERNATIONAL_AIRPORT_TOTAL_PROCESSING_POWER_mae,DEBRECEN_INTERNATIONAL_AIRPORT_TOTAL_PROCESSING_POWER_mape,KECSKEMET_AIRPORT_MEMORY_rmse,KECSKEMET_AIRPORT_MEMORY_mae,KECSKEMET_AIRPORT_MEMORY_mape,KECSKEMET_AIRPORT_LOAD_OF_RESOURCE_rmse,KECSKEMET_AIRPORT_LOAD_OF_RESOURCE_mae,KECSKEMET_AIRPORT_LOAD_OF_RESOURCE_mape,KECSKEMET_AIRPORT_TOTAL_PROCESSING_POWER_rmse,KECSKEMET_AIRPORT_TOTAL_PROCESSING_POWER_mae,KECSKEMET_AIRPORT_TOTAL_PROCESSING_POWER_mape,BUDAPEST_MAIN_MEMORY_rmse,BUDAPEST_MAIN_MEMORY_mae,BUDAPEST_MAIN_MEMORY_mape,BUDAPEST_MAIN_LOAD_OF_RESOURCE_rmse,BUDAPEST_MAIN_LOAD_OF_RESOURCE_mae,BUDAPEST_MAIN_LOAD_OF_RESOURCE_mape,BUDAPEST_MAIN_TOTAL_PROCESSING_POWER_rmse,BUDAPEST_MAIN_TOTAL_PROCESSING_POWER_mae,BUDAPEST_MAIN_TOTAL_PROCESSING_POWER_mape
0,0.13347541369018862,0.09941022420024719,0.11894649364574554,0.20747007052358105,0.15809272469947638,0.1979008968174035,0.13347541368972402,0.09941022419989334,0.11894649364532354,0.5803382306177063,0.4702557108757985,,0.06754815912152257,0.04793997392780626,,0.5793409005433918,0.46955153181925563,,0.9968185878937207,0.8070741437589478,4.247430123050059,0.2701636811845174,0.23453657979466247,,0.8747500839346984,0.7143498571177505,3.839228511755258,0.4695017527282679,0.4051278783428543,,0.09220776094678965,0.08098237030874626,,0.503118191914673,0.43156049421737047,,2.2924740549909397,1.7345351780773781,5.792130524925505,0.3785223248166121,0.3442078465947825,0.9827015317364209,1.4690270328637864,1.1118104121677417,3.712928924584475
1,0.1935257844007121,0.16415531939757808,0.23394112852113774,0.12760437896220359,0.09511109359149603,0.15451568548725372,0.19352578440071175,0.16415531939757927,0.23394112852113513,0.18449511462015078,0.11992856046404377,0.17118137262059135,0.24140304770690682,0.17543088064498247,0.2871298843080459,0.18449511462014428,0.11992856046403591,0.17118137262057698,0.27901795617696434,0.219294062251248,0.3545539754785562,0.16560006248388726,0.15377356851954835,0.22182407418979347,0.279017956176936,0.2192940622512183,0.3545539754785122,0.19218971768457394,0.16431200812833632,0.4797224792073487,0.09638793509503901,0.06039840013559488,0.16705641574578795,0.19218971768459248,0.1643120081283624,0.47972247920741323,0.09807546190232966,0.05713785084472435,0.06386947281565057,0.11457232994033252,0.10066462232825085,0.11018827478595962,0.10094881030125834,0.05811141872372304,0.06495460812884721
2,0.20002732423468736,0.14522916614728226,0.18960712711812822,0.12105155333016669,0.09632946789643235,0.1368432958378887,0.20002732433657647,0.14522916615739598,0.1896071271189334,0.27876443663854666,0.18029574577674445,,0.6320030875114723,0.5538327486019226,,0.2788668191293828,0.18036377200710788,,0.2757035313430941,0.18016416410330108,0.2457721708314945,0.24478748958652324,0.15951329985416346,0.2847407272671981,0.27570353134292847,0.18016416410303637,0.24577217083107483,0.13225297975055664,0.10685659578921579,0.19904758280867438,0.45138120176331537,0.40815473315535666,,0.1322529797505706,0.10685659578922531,0.19904758280869092,0.37611396355582033,0.3409390058107584,0.379963585560254,0.11868324077145685,0.10275262521739648,0.1133436053780095,0.3518140897821058,0.31904798681300933,0.35556189955847134
3,0.41902806989718006,0.35178164707246506,0.4646711937235802,0.38219470773971514,0.31481113802366023,0.4341480449395807,0.4190280698971287,0.35178164707241166,0.46467119372350246,0.3256478562089676,0.2389030302717929,,0.2862680426316723,0.18952110909779704,,0.3256478562089744,0.23890303027179713,,0.48845333377014954,0.42756689587679997,,0.14231162938799355,0.09335556974876988,,0.4884533337703789,0.4275668958770078,,0.335138705631787,0.2940860110155836,0.3533173758921124,0.37817755833862043,0.33714745113813355,0.3691729744985046,0.3351387056301702,0.29408601101422954,0.35331737589047396,0.4487107890446809,0.35756660108572347,,0.361731111300651,0.2966125260818743,,0.448710789044902,0.3575666010859144,
4,0.16225201207601375,0.13460623003887798,0.3894162420805341,0.14698889135525275,0.1278993391277847,0.32844186594757413,0.16225201207600687,0.1346062300388723,0.3894162420805186,0.09570256270493352,0.06297356387444934,0.10620091805845823,0.2535321533009706,0.17500491413356686,0.2614447007793164,0.09570256270494654,0.06297356387446072,0.10620091805847708,0.16155229279232391,0.1273595992809817,,0.11833313255328073,0.10254413542242019,,0.16155229279232558,0.12735959928098356,,0.31655887552507567,0.2496097044711238,0.3767015409795384,0.3208715206521012,0.28350222348953924,0.44015382766842337,0.3165588755250355,0.24960970447109151,0.37670154097949116,0.25350324370366445,0.1972908659557542,,0.2890434472178213,0.23149569714479207,,0.2535032437038512,0.19729086595590686,
5,0.13624226104703577,0.1162289112578403,0.2935025337745029,0.2910106463427603,0.22948353192106513,0.5819046721830134,0.1362422610468945,0.11622891125772039,0.29350253377424795,0.47224827957951887,0.3872119509610986,4.193067105412056,0.06582074159594474,0.04843598301005758,0.6968710818592778,0.26004799131911555,0.22343092524585198,2.444968348441654,0.23299828524243166,0.20982820848785505,0.6239036846293226,0.05609898147880301,0.036699895386474043,0.08289879700716693,0.23299828524247426,0.20982820848789233,0.6239036846294271,0.4774716996785775,0.4274941578508376,0.5579638898370438,0.2390170595590319,0.19328908290589672,0.21398405860041392,0.477471699678587,0.4274941578508444,0.5579638898370508,0.15081869472296355,0.10826983785649538,,0.35952569234141396,0.28326030492169646,,0.14492379949242065,0.10384088886667009,
6,0.9107637885571277,0.6979784990440616,0.9884621742754579,0.2891738232397003,0.15525830468672372,0.2934390552573134,0.913641858505778,0.7001209828604358,0.9913446182078063,0.1830705972313166,0.1521167985056946,0.42799671468786227,0.19666274034907968,0.17025237190395662,0.4269668946927756,0.18307059723052793,0.15211679850494045,0.42799671468574896,0.5622642003620891,0.45954725885604086,,0.29681825003108414,0.23971330598413965,,0.5622642003620848,0.4595472588560363,,0.22050613508810138,0.1885934572271336,2.193806122337645,0.26412694570732076,0.206113392355087,2.408107076523781,0.2205061350881036,0.1885934572271354,2.193806122337682,0.052783045005285696,0.041931543611741076,,0.05707094941268803,0.04609660347475774,,0.05278304500491585,0.04193154361144062,
7,0.2656325299195617,0.18429345253766838,0.21869403763764186,0.24841890069823383,0.1493071503496121,0.23203186380039992,0.2656325299195655,0.1842934525376731,0.218694037637649,0.08939685023137822,0.061087129784435666,0.06701349563200469,0.24140297049951528,0.19505751095039933,0.23960763395980883,0.09317081371467344,0.06223234074754068,0.06802807035380541,0.23159524053729894,0.17619601750286754,0.6105750698670964,0.17706677972521362,0.14778527322161192,0.5327194100512616,0.22953637642480612,0.17461486628023265,0.6050465632618973,0.11150387977673391,0.08249332999465486,,0.3160241829629725,0.2485777310166917,,0.08772422660650202,0.06367139642549077,,0.2949375075987138,0.24839628589172738,,0.4432102680162288,0.3754566349988037,,0.2949375075987232,0.24839628589173648,
8,0.42109885986331513,0.31543948427512025,0.33150315256206037,0.3269700329304582,0.15625482455816556,,0.4208812912783497,0.3153232468568339,0.33136947221266,0.14094651187008264,0.11032589041854714,0.13778634715786298,0.21322163703221075,0.15218596060929085,0.18018048774013823,0.14094651187015028,0.11032589041860161,0.1377863471579311,0.24762078347464558,0.19887892770210122,0.3365562676920015,0.2904233052346546,0.22140611574292346,0.34634117719438134,0.2476207834745818,0.19887892770206125,0.3365562676920065,0.13818016565897084,0.1164316562265548,0.4168850662732402,0.18424098764297567,0.14225064175632637,0.5190268709346046,0.1381801656589708,0.11643165622655458,0.4168850662732405,0.08085591680207804,0.06369803962485449,,0.08248158407522324,0.06569707452785824,,0.08085591680126432,0.06369803962419744,
9,0.3305440258703245,0.280857804957906,0.3867378337215758,0.2393272009719279,0.1099260270972502,,0.3305440258702964,0.28085780495788193,0.3867378337215469,0.2900283142284299,0.26084146791192936,,0.24371086218633664,0.2042581601336973,,0.2900283142284264,0.2608414679119256,,0.34207300011156533,0.3099979109536622,12.67114907344186,0.33090689579293037,0.2955163843354829,1.6994074147297742,0.3420730001115538,0.3099979109536603,12.671149073441278,0.1349733314633714,0.1105015190271488,0.2550142089023687,0.1644858278745201,0.0956891621726748,0.199861367412911,0.13497333146335216,0.11050151902710582,0.25501420890216936,0.35596359148389956,0.2810614954169385,,0.21457624389762617,0.1865981118924198,,0.3559635914838952,0.28106149541693504,
