LISZT_FERENC_STATION__MEMORY;LISZT_FERENC_STATION__LOAD_OF_RESOURCE;LISZT_FERENC_STATION__TOTAL_PROCESSING_POWER;KALOCSA_FOKTO_STATION__MEMORY;KALOCSA_FOKTO_STATION__LOAD_OF_RESOURCE;KALOCSA_FOKTO_STATION__TOTAL_PROCESSING_POWER;DEBRECEN_INTERNATIONAL_AIRPORT__MEMORY;DEBRECEN_INTERNATIONAL_AIRPORT__LOAD_OF_RESOURCE;DEBRECEN_INTERNATIONAL_AIRPORT__TOTAL_PROCESSING_POWER;KECSKEMET_AIRPORT__MEMORY;KECSKEMET_AIRPORT__LOAD_OF_RESOURCE;KECSKEMET_AIRPORT__TOTAL_PROCESSING_POWER;BUDAPEST_MAIN__MEMORY;BUDAPEST_MAIN__LOAD_OF_RESOURCE;BUDAPEST_MAIN__TOTAL_PROCESSING_POWER;
8589934592,00000000;8,00000000;0,00002000;8589934592,00000000;8,00000000;0,00002000;8589934592,00000000;8,00000000;0,00002000;8589934592,00000000;8,00000000;0,00002000;4294967296,00000000;8,00000000;0,00001000;
8589934592,00000000;8,00000000;0,00002000;8589934592,00000000;8,00000000;0,00002000;12884901888,00000000;12,00000000;0,00003000;8589934592,00000000;8,00000000;0,00002000;4294967296,00000000;8,00000000;0,00001000;
12884901888,00000000;12,00000000;0,00003000;8589934592,00000000;8,00000000;0,00002000;12884901888,00000000;12,00000000;0,00003000;8589934592,00000000;8,00000000;0,00002000;4294967296,00000000;8,00000000;0,00001000;
12884901888,00000000;12,00000000;0,00003000;8589934592,00000000;8,00000000;0,00002000;12884901888,00000000;12,00000000;0,00003000;12884901888,00000000;12,00000000;0,00003000;4294967296,00000000;8,00000000;0,00001000;
12884901888,00000000;12,00000000;0,00003000;12884901888,00000000;12,00000000;0,00003000;12884901888,00000000;12,00000000;0,00003000;12884901888,00000000;12,00000000;0,00003000;4294967296,00000000;8,00000000;0,00001000;
12884901888,00000000;12,00000000;0,00003000;12884901888,00000000;12,00000000;0,00003000;17179869184,00000000;16,00000000;0,00004000;12884901888,00000000;12,00000000;0,00003000;4294967296,00000000;8,00000000;0,00001000;
17179869184,00000000;16,00000000;0,00004000;12884901888,00000000;12,00000000;0,00003000;17179869184,00000000;16,00000000;0,00004000;12884901888,00000000;12,00000000;0,00003000;4294967296,00000000;8,00000000;0,00001000;
17179869184,00000000;16,00000000;0,00004000;12884901888,00000000;12,00000000;0,00003000;17179869184,00000000;16,00000000;0,00004000;17179869184,00000000;16,00000000;0,00004000;4294967296,00000000;8,00000000;0,00001000;
17179869184,00000000;16,00000000;0,00004000;17179869184,00000000;16,00000000;0,00004000;17179869184,00000000;16,00000000;0,00004000;17179869184,00000000;16,00000000;0,00004000;4294967296,00000000;8,00000000;0,00001000;
17179869184,00000000;16,00000000;0,00004000;17179869184,00000000;16,00000000;0,00004000;21474836480,00000000;20,00000000;0,00005000;17179869184,00000000;16,00000000;0,00004000;4294967296,00000000;8,00000000;0,00001000;
21474836480,00000000;20,00000000;0,00005000;17179869184,00000000;16,00000000;0,00004000;21474836480,00000000;20,00000000;0,00005000;17179869184,00000000;16,00000000;0,00004000;4294967296,00000000;8,00000000;0,00001000;
21474836480,00000000;20,00000000;0,00005000;17179869184,00000000;16,00000000;0,00004000;21474836480,00000000;20,00000000;0,00005000;21474836480,00000000;20,00000000;0,00005000;4294967296,00000000;8,00000000;0,00001000;
21474836480,00000000;20,00000000;0,00005000;21474836480,00000000;20,00000000;0,00005000;21474836480,00000000;20,00000000;0,00005000;21474836480,00000000;20,00000000;0,00005000;4294967296,00000000;8,00000000;0,00001000;
21474836480,00000000;20,00000000;0,00005000;21474836480,00000000;20,00000000;0,00005000;25769803776,00000000;24,00000000;0,00006000;21474836480,00000000;20,00000000;0,00005000;4294967296,00000000;8,00000000;0,00001000;
25769803776,00000000;24,00000000;0,00006000;21474836480,00000000;20,00000000;0,00005000;25769803776,00000000;24,00000000;0,00006000;21474836480,00000000;20,00000000;0,00005000;4294967296,00000000;8,00000000;0,00001000;
