LOAD_OF_RESOURCE;MEMORY;TOTAL_PROC_POWER
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
8,0000;4294967296,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
16,0000;8589934592,0000;0,0000
24,0000;12884901888,0000;0,0000
24,0000;12884901888,0000;0,0000
24,0000;12884901888,0000;0,0000
24,0000;12884901888,0000;0,0000
32,0000;17179869184,0000;0,0000
32,0000;17179869184,0000;0,0000
32,0000;17179869184,0000;0,0000
32,0000;17179869184,0000;0,0000
40,0000;21474836480,0000;0,0001
40,0000;21474836480,0000;0,0001
40,0000;21474836480,0000;0,0001
40,0000;21474836480,0000;0,0001
48,0000;25769803776,0000;0,0001
48,0000;25769803776,0000;0,0001
48,0000;25769803776,0000;0,0001
48,0000;25769803776,0000;0,0001
56,0000;30064771072,0000;0,0001
56,0000;30064771072,0000;0,0001
56,0000;30064771072,0000;0,0001
56,0000;30064771072,0000;0,0001
64,0000;34359738368,0000;0,0001
64,0000;34359738368,0000;0,0001
64,0000;34359738368,0000;0,0001
64,0000;34359738368,0000;0,0001
72,0000;38654705664,0000;0,0001
72,0000;38654705664,0000;0,0001
72,0000;38654705664,0000;0,0001
72,0000;38654705664,0000;0,0001
80,0000;42949672960,0000;0,0001
80,0000;42949672960,0000;0,0001
80,0000;42949672960,0000;0,0001
80,0000;42949672960,0000;0,0001
88,0000;47244640256,0000;0,0001
88,0000;47244640256,0000;0,0001
88,0000;47244640256,0000;0,0001
88,0000;47244640256,0000;0,0001
96,0000;51539607552,0000;0,0001
96,0000;51539607552,0000;0,0001
96,0000;51539607552,0000;0,0001
96,0000;51539607552,0000;0,0001
104,0000;55834574848,0000;0,0001
