Load of resource;Memory;Total proc. power;Tester
0,0000;0,0000;0,0000;66,6667
0,0000;0,0000;0,0000;66,6667
4,0000;4294967296,0000;0,0000;100,0000
4,0000;4294967296,0000;0,0000;100,0000
4,0000;4294967296,0000;0,0000;100,0000
4,0000;4294967296,0000;0,0000;100,0000
8,0000;8589934592,0000;0,0000;133,3333
8,0000;8589934592,0000;0,0000;133,3333
8,0000;8589934592,0000;0,0000;133,3333
8,0000;8589934592,0000;0,0000;133,3333
12,0000;12884901888,0000;0,0000;166,6667
12,0000;12884901888,0000;0,0000;166,6667
12,0000;12884901888,0000;0,0000;166,6667
12,0000;12884901888,0000;0,0000;166,6667
16,0000;17179869184,0000;0,0000;200,0000
16,0000;17179869184,0000;0,0000;200,0000
16,0000;17179869184,0000;0,0000;200,0000
16,0000;17179869184,0000;0,0000;200,0000
20,0000;21474836480,0000;0,0001;233,3333
20,0000;21474836480,0000;0,0001;233,3333
20,0000;21474836480,0000;0,0001;233,3333
20,0000;21474836480,0000;0,0001;233,3333
24,0000;25769803776,0000;0,0001;266,6667
24,0000;25769803776,0000;0,0001;266,6667
24,0000;25769803776,0000;0,0001;266,6667
24,0000;25769803776,0000;0,0001;266,6667
28,0000;30064771072,0000;0,0001;300,0000
28,0000;30064771072,0000;0,0001;300,0000
28,0000;30064771072,0000;0,0001;300,0000
28,0000;30064771072,0000;0,0001;300,0000
28,0000;30064771072,0000;0,0001;300,0000
28,0000;30064771072,0000;0,0001;300,0000
28,0000;30064771072,0000;0,0001;300,0000
28,0000;30064771072,0000;0,0001;300,0000
28,0000;30064771072,0000;0,0001;300,0000
28,0000;30064771072,0000;0,0001;300,0000
28,0000;30064771072,0000;0,0001;300,0000
28,0000;30064771072,0000;0,0001;300,0000
28,0000;30064771072,0000;0,0001;300,0000
28,0000;30064771072,0000;0,0001;300,0000
28,0000;30064771072,0000;0,0001;300,0000
28,0000;30064771072,0000;0,0001;300,0000
28,0000;30064771072,0000;0,0001;300,0000
28,0000;30064771072,0000;0,0001;300,0000
28,0000;30064771072,0000;0,0001;300,0000
32,0000;34359738368,0000;0,0001;333,3333
