Load of resource;Memory;Total proc. power;Tester
4,0000;4294967296,0000;0,0010;66,6667
8,0000;8589934592,0000;0,0020;100,0000
4,0000;4294967296,0000;0,0010;66,6667
4,0000;4294967296,0000;0,0010;66,6667
4,0000;4294967296,0000;0,0010;66,6667
4,0000;4294967296,0000;0,0010;66,6667
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
4,0000;4294967296,0000;0,0010;66,6667
4,0000;4294967296,0000;0,0010;66,6667
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
4,0000;4294967296,0000;0,0010;66,6667
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
4,0000;4294967296,0000;0,0010;66,6667
4,0000;4294967296,0000;0,0010;66,6667
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
8,0000;8589934592,0000;0,0020;100,0000
4,0000;4294967296,0000;0,0010;66,6667
