Load of resource;Memory;Total proc. power;Tester
48,0000;47244640256,0000;0,0001;466,6667
68,0000;68719476736,0000;0,0002;633,3333
88,0000;90194313216,0000;0,0002;800,0000
108,0000;111669149696,0000;0,0003;966,6667
128,0000;133143986176,0000;0,0003;1133,3333
148,0000;154618822656,0000;0,0004;1300,0000
168,0000;176093659136,0000;0,0004;1466,6667
188,0000;197568495616,0000;0,0005;1633,3333
200,0000;210453397504,0000;0,0005;1800,0000
200,0000;210453397504,0000;0,0005;1966,6667
200,0000;210453397504,0000;0,0005;2133,3333
200,0000;210453397504,0000;0,0005;2300,0000
200,0000;210453397504,0000;0,0005;2466,6667
200,0000;210453397504,0000;0,0005;2633,3333
200,0000;210453397504,0000;0,0005;2800,0000
200,0000;210453397504,0000;0,0005;2966,6667
200,0000;210453397504,0000;0,0005;3133,3333
200,0000;210453397504,0000;0,0005;3300,0000
200,0000;210453397504,0000;0,0005;3300,0000
200,0000;210453397504,0000;0,0005;3300,0000
200,0000;210453397504,0000;0,0005;3300,0000
200,0000;210453397504,0000;0,0005;3300,0000
200,0000;210453397504,0000;0,0005;3300,0000
200,0000;210453397504,0000;0,0005;3300,0000
200,0000;210453397504,0000;0,0005;3300,0000
200,0000;210453397504,0000;0,0005;3300,0000
200,0000;210453397504,0000;0,0005;3300,0000
200,0000;210453397504,0000;0,0005;3300,0000
192,0000;201863462912,0000;0,0005;3233,3333
196,0000;206158430208,0000;0,0005;3266,6667
128,0000;133143986176,0000;0,0003;2700,0000
128,0000;133143986176,0000;0,0003;2700,0000
108,0000;111669149696,0000;0,0003;2066,6667
108,0000;111669149696,0000;0,0003;2066,6667
104,0000;107374182400,0000;0,0003;1400,0000
104,0000;107374182400,0000;0,0003;1300,0000
120,0000;124554051584,0000;0,0003;1433,3333
132,0000;137438953472,0000;0,0003;1533,3333
144,0000;150323855360,0000;0,0004;1633,3333
156,0000;163208757248,0000;0,0004;1766,6667
164,0000;171798691840,0000;0,0004;1900,0000
180,0000;188978561024,0000;0,0004;2033,3333
188,0000;197568495616,0000;0,0005;2133,3333
196,0000;206158430208,0000;0,0005;2233,3333
200,0000;210453397504,0000;0,0005;2400,0000
200,0000;210453397504,0000;0,0005;2566,6667
200,0000;210453397504,0000;0,0005;2666,6667
200,0000;210453397504,0000;0,0005;2833,3333
200,0000;210453397504,0000;0,0005;3000,0000
200,0000;210453397504,0000;0,0005;3133,3333
200,0000;210453397504,0000;0,0005;3300,0000
200,0000;210453397504,0000;0,0005;3300,0000
200,0000;210453397504,0000;0,0005;3300,0000
200,0000;210453397504,0000;0,0005;3300,0000
200,0000;210453397504,0000;0,0005;3300,0000
200,0000;210453397504,0000;0,0005;3300,0000
200,0000;210453397504,0000;0,0005;3300,0000
200,0000;210453397504,0000;0,0005;3300,0000
200,0000;210453397504,0000;0,0005;3300,0000
196,0000;206158430208,0000;0,0005;3233,3333
200,0000;210453397504,0000;0,0005;3300,0000
196,0000;206158430208,0000;0,0005;3233,3333
180,0000;188978561024,0000;0,0004;3033,3333
