Load of resource;Memory;Total proc. power;Tester
4,0000;4294967296,0000;0,0000;100,0000
8,0000;8589934592,0000;0,0000;133,3333
16,0000;17179869184,0000;0,0000;200,0000
20,0000;21474836480,0000;0,0001;233,3333
24,0000;25769803776,0000;0,0001;266,6667
28,0000;30064771072,0000;0,0001;300,0000
36,0000;38654705664,0000;0,0001;366,6667
40,0000;42949672960,0000;0,0001;400,0000
44,0000;47244640256,0000;0,0001;433,3333
48,0000;51539607552,0000;0,0001;466,6667
56,0000;60129542144,0000;0,0001;533,3333
60,0000;64424509440,0000;0,0002;566,6667
64,0000;68719476736,0000;0,0002;600,0000
68,0000;73014444032,0000;0,0002;633,3333
76,0000;81604378624,0000;0,0002;700,0000
80,0000;85899345920,0000;0,0002;733,3333
84,0000;90194313216,0000;0,0002;766,6667
88,0000;94489280512,0000;0,0002;800,0000
92,0000;98784247808,0000;0,0002;833,3333
100,0000;107374182400,0000;0,0003;900,0000
104,0000;111669149696,0000;0,0003;933,3333
108,0000;115964116992,0000;0,0003;966,6667
112,0000;120259084288,0000;0,0003;1000,0000
120,0000;128849018880,0000;0,0003;1066,6667
124,0000;133143986176,0000;0,0003;1100,0000
128,0000;137438953472,0000;0,0003;1133,3333
132,0000;141733920768,0000;0,0003;1166,6667
136,0000;146028888064,0000;0,0003;1200,0000
132,0000;141733920768,0000;0,0003;1166,6667
116,0000;124554051584,0000;0,0003;1033,3333
116,0000;124554051584,0000;0,0003;1033,3333
96,0000;103079215104,0000;0,0002;866,6667
76,0000;81604378624,0000;0,0002;700,0000
76,0000;81604378624,0000;0,0002;700,0000
56,0000;60129542144,0000;0,0001;533,3333
56,0000;60129542144,0000;0,0001;533,3333
36,0000;38654705664,0000;0,0001;366,6667
36,0000;38654705664,0000;0,0001;366,6667
40,0000;42949672960,0000;0,0001;400,0000
44,0000;47244640256,0000;0,0001;433,3333
44,0000;47244640256,0000;0,0001;433,3333
44,0000;47244640256,0000;0,0001;433,3333
48,0000;51539607552,0000;0,0001;466,6667
52,0000;55834574848,0000;0,0001;500,0000
60,0000;64424509440,0000;0,0002;566,6667
64,0000;68719476736,0000;0,0002;600,0000
68,0000;73014444032,0000;0,0002;633,3333
72,0000;77309411328,0000;0,0002;666,6667
80,0000;85899345920,0000;0,0002;733,3333
84,0000;90194313216,0000;0,0002;766,6667
88,0000;94489280512,0000;0,0002;800,0000
92,0000;98784247808,0000;0,0002;833,3333
100,0000;107374182400,0000;0,0003;900,0000
104,0000;111669149696,0000;0,0003;933,3333
108,0000;115964116992,0000;0,0003;966,6667
108,0000;115964116992,0000;0,0003;966,6667
112,0000;120259084288,0000;0,0003;1000,0000
116,0000;124554051584,0000;0,0003;1033,3333
120,0000;128849018880,0000;0,0003;1066,6667
124,0000;133143986176,0000;0,0003;1100,0000
124,0000;133143986176,0000;0,0003;1100,0000
128,0000;137438953472,0000;0,0003;1133,3333
136,0000;146028888064,0000;0,0003;1200,0000
140,0000;150323855360,0000;0,0004;1233,3333
132,0000;141733920768,0000;0,0003;1166,6667
132,0000;141733920768,0000;0,0003;1166,6667
132,0000;141733920768,0000;0,0003;1166,6667
132,0000;141733920768,0000;0,0003;1166,6667
108,0000;115964116992,0000;0,0003;966,6667
108,0000;115964116992,0000;0,0003;966,6667
84,0000;90194313216,0000;0,0002;766,6667
72,0000;77309411328,0000;0,0002;666,6667
72,0000;77309411328,0000;0,0002;666,6667
60,0000;64424509440,0000;0,0002;566,6667
48,0000;51539607552,0000;0,0001;466,6667
52,0000;55834574848,0000;0,0001;500,0000
56,0000;60129542144,0000;0,0001;533,3333
56,0000;60129542144,0000;0,0001;533,3333
56,0000;60129542144,0000;0,0001;533,3333
60,0000;64424509440,0000;0,0002;566,6667
64,0000;68719476736,0000;0,0002;600,0000
68,0000;73014444032,0000;0,0002;633,3333
76,0000;81604378624,0000;0,0002;700,0000
76,0000;81604378624,0000;0,0002;700,0000
80,0000;85899345920,0000;0,0002;733,3333
84,0000;90194313216,0000;0,0002;766,6667
92,0000;98784247808,0000;0,0002;833,3333
96,0000;103079215104,0000;0,0002;866,6667
100,0000;107374182400,0000;0,0003;900,0000
104,0000;111669149696,0000;0,0003;933,3333
112,0000;120259084288,0000;0,0003;1000,0000
112,0000;120259084288,0000;0,0003;1000,0000
108,0000;115964116992,0000;0,0003;966,6667
112,0000;120259084288,0000;0,0003;1000,0000
116,0000;124554051584,0000;0,0003;1033,3333
120,0000;128849018880,0000;0,0003;1066,6667
120,0000;128849018880,0000;0,0003;1066,6667
120,0000;128849018880,0000;0,0003;1066,6667
124,0000;133143986176,0000;0,0003;1100,0000
132,0000;141733920768,0000;0,0003;1166,6667
136,0000;146028888064,0000;0,0003;1200,0000
132,0000;141733920768,0000;0,0003;1166,6667
132,0000;141733920768,0000;0,0003;1166,6667
144,0000;154618822656,0000;0,0004;1266,6667
136,0000;146028888064,0000;0,0003;1200,0000
116,0000;124554051584,0000;0,0003;1033,3333
116,0000;124554051584,0000;0,0003;1033,3333
92,0000;98784247808,0000;0,0002;833,3333
96,0000;103079215104,0000;0,0002;866,6667
88,0000;94489280512,0000;0,0002;800,0000
76,0000;81604378624,0000;0,0002;700,0000
76,0000;81604378624,0000;0,0002;700,0000
68,0000;73014444032,0000;0,0002;633,3333
68,0000;73014444032,0000;0,0002;633,3333
68,0000;73014444032,0000;0,0002;633,3333
64,0000;68719476736,0000;0,0002;600,0000
60,0000;64424509440,0000;0,0002;566,6667
68,0000;73014444032,0000;0,0002;633,3333
72,0000;77309411328,0000;0,0002;666,6667
72,0000;77309411328,0000;0,0002;666,6667
72,0000;77309411328,0000;0,0002;666,6667
76,0000;81604378624,0000;0,0002;700,0000
84,0000;90194313216,0000;0,0002;766,6667
88,0000;94489280512,0000;0,0002;800,0000
92,0000;98784247808,0000;0,0002;833,3333
92,0000;98784247808,0000;0,0002;833,3333
96,0000;103079215104,0000;0,0002;866,6667
100,0000;107374182400,0000;0,0003;900,0000
100,0000;107374182400,0000;0,0003;900,0000
96,0000;103079215104,0000;0,0002;866,6667
100,0000;107374182400,0000;0,0003;900,0000
104,0000;111669149696,0000;0,0003;933,3333
108,0000;115964116992,0000;0,0003;966,6667
104,0000;111669149696,0000;0,0003;933,3333
100,0000;107374182400,0000;0,0003;900,0000
108,0000;115964116992,0000;0,0003;966,6667
112,0000;120259084288,0000;0,0003;1000,0000
116,0000;124554051584,0000;0,0003;1033,3333
116,0000;124554051584,0000;0,0003;1033,3333
124,0000;133143986176,0000;0,0003;1100,0000
120,0000;128849018880,0000;0,0003;1066,6667
124,0000;133143986176,0000;0,0003;1100,0000
124,0000;133143986176,0000;0,0003;1100,0000
124,0000;133143986176,0000;0,0003;1100,0000
108,0000;115964116992,0000;0,0003;966,6667
112,0000;120259084288,0000;0,0003;1000,0000
104,0000;111669149696,0000;0,0003;933,3333
108,0000;115964116992,0000;0,0003;966,6667
108,0000;115964116992,0000;0,0003;966,6667
108,0000;115964116992,0000;0,0003;966,6667
96,0000;103079215104,0000;0,0002;866,6667
100,0000;107374182400,0000;0,0003;900,0000
88,0000;94489280512,0000;0,0002;800,0000
84,0000;90194313216,0000;0,0002;766,6667
84,0000;90194313216,0000;0,0002;766,6667
80,0000;85899345920,0000;0,0002;733,3333
80,0000;85899345920,0000;0,0002;733,3333
72,0000;77309411328,0000;0,0002;666,6667
76,0000;81604378624,0000;0,0002;700,0000
80,0000;85899345920,0000;0,0002;733,3333
84,0000;90194313216,0000;0,0002;766,6667
84,0000;90194313216,0000;0,0002;766,6667
80,0000;85899345920,0000;0,0002;733,3333
84,0000;90194313216,0000;0,0002;766,6667
88,0000;94489280512,0000;0,0002;800,0000
88,0000;94489280512,0000;0,0002;800,0000
84,0000;90194313216,0000;0,0002;766,6667
84,0000;90194313216,0000;0,0002;766,6667
84,0000;90194313216,0000;0,0002;766,6667
76,0000;81604378624,0000;0,0002;700,0000
72,0000;77309411328,0000;0,0002;666,6667
76,0000;81604378624,0000;0,0002;700,0000
80,0000;85899345920,0000;0,0002;733,3333
80,0000;85899345920,0000;0,0002;733,3333
72,0000;77309411328,0000;0,0002;666,6667
76,0000;81604378624,0000;0,0002;700,0000
88,0000;94489280512,0000;0,0002;800,0000
92,0000;98784247808,0000;0,0002;833,3333
100,0000;107374182400,0000;0,0003;900,0000
96,0000;103079215104,0000;0,0002;866,6667
100,0000;107374182400,0000;0,0003;900,0000
104,0000;111669149696,0000;0,0003;933,3333
108,0000;115964116992,0000;0,0003;966,6667
116,0000;124554051584,0000;0,0003;1033,3333
120,0000;128849018880,0000;0,0003;1066,6667
120,0000;128849018880,0000;0,0003;1066,6667
120,0000;128849018880,0000;0,0003;1066,6667
128,0000;137438953472,0000;0,0003;1133,3333
120,0000;128849018880,0000;0,0003;1066,6667
